epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1809.21,1.35237,1.15466,1.57309,0.81899,0.70943,0.79112,0.49053,1.31166,0.95222,1.52751,0.000434754,0.000434754,0.000434754
58,1841.08,1.34133,1.13604,1.55687,0.76601,0.72989,0.78144,0.47828,1.32208,0.95602,1.53007,0.000412749,0.000412749,0.000412749
59,1872.97,1.33262,1.11417,1.54758,0.82652,0.70928,0.80051,0.48713,1.29024,0.9305,1.50937,0.000390745,0.000390745,0.000390745
60,1904.88,1.33252,1.1071,1.53227,0.78566,0.70766,0.77565,0.47457,1.3229,0.96032,1.51564,0.00036874,0.00036874,0.00036874
61,1936.83,1.30999,1.07392,1.53503,0.85901,0.67004,0.78136,0.48075,1.30618,0.9442,1.51982,0.000346736,0.000346736,0.000346736
62,1968.87,1.30952,1.0983,1.54075,0.80464,0.7216,0.78523,0.48296,1.28515,0.91412,1.51081,0.000324732,0.000324732,0.000324732
63,2000.77,1.31931,1.10019,1.54112,0.81845,0.6913,0.79083,0.49549,1.26579,0.92986,1.48471,0.000302727,0.000302727,0.000302727
64,2032.78,1.30939,1.08324,1.52934,0.79563,0.7652,0.80657,0.50171,1.27756,0.90808,1.4942,0.000280723,0.000280723,0.000280723
65,2064.73,1.3083,1.08885,1.53156,0.82105,0.72709,0.79972,0.48588,1.29596,0.90026,1.50488,0.000258718,0.000258718,0.000258718
66,2123.82,1.2375,0.95185,1.47847,0.81869,0.71852,0.8027,0.49741,1.27969,0.89011,1.49771,0.000236714,0.000236714,0.000236714
67,2155.23,1.19783,0.90411,1.45651,0.8236,0.71883,0.79546,0.49838,1.26382,0.88331,1.48945,0.00021471,0.00021471,0.00021471
68,2186.71,1.17758,0.88073,1.43924,0.79883,0.73437,0.79328,0.50117,1.24405,0.86783,1.46758,0.000192705,0.000192705,0.000192705
69,2218.44,1.16654,0.88138,1.42488,0.79595,0.74809,0.79126,0.50289,1.24215,0.86206,1.46546,0.000170701,0.000170701,0.000170701
70,2250.09,1.16471,0.87859,1.42451,0.81316,0.74525,0.80127,0.51167,1.20572,0.85732,1.45175,0.000148696,0.000148696,0.000148696
71,2281.72,1.14558,0.84785,1.42764,0.81977,0.71725,0.7914,0.50327,1.21997,0.87323,1.46042,0.000126692,0.000126692,0.000126692
72,2313.42,1.14812,0.85606,1.41191,0.80645,0.74007,0.79748,0.51196,1.22562,0.85583,1.46557,0.000104688,0.000104688,0.000104688
73,2344.89,1.13304,0.84485,1.40469,0.81397,0.74644,0.79885,0.51358,1.20264,0.84507,1.44686,8.26832e-05,8.26832e-05,8.26832e-05
74,2376.54,1.12742,0.8306,1.39472,0.80695,0.74978,0.8093,0.51948,1.20281,0.83857,1.44606,6.06788e-05,6.06788e-05,6.06788e-05
75,2408.14,1.11345,0.82559,1.39561,0.82966,0.74188,0.80542,0.52238,1.2001,0.83388,1.44243,3.86744e-05,3.86744e-05,3.86744e-05
